,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
2461,Data Science with Python Complete Course,Prashant Mishra,4.4,417.0,20 total hours,83 lectures,All Levels,199.99,229.99,"53,654 students"
2462,Create ASP.Net Core Web API (step by step for beginners),Pavol Almasi,4.7,416.0,10 total hours,131 lectures,All Levels,199.99,229.99,"3,473 students"
2463,The Comprehensive SQL Course,Malvik Vaghadia,4.6,416.0,6.5 total hours,139 lectures,All Levels,269.99,529.99,"38,613 students"
2464,Complete Progressive Web App Bootcamp,Kim Chen,4.1,415.0,2 total hours,41 lectures,All Levels,229.99,1199.99,"128,473 students"
2465,Introduction to iOS Game Development with SpriteKit & Swift,"Timothy Meixner, Johannes Ruof",4.7,415.0,10.5 total hours,98 lectures,All Levels,269.99,1399.99,"2,408 students"
2466,Appium C# WinAppDriver UI Automation Testing Windows Apps,Naeem Akram,4.5,415.0,5 total hours,79 lectures,Intermediate,269.99,319.99,"1,718 students"
2467,Practical AutoLISP Programming - Beginner to Advanced,Arnold Higuit,4.3,414.0,7.5 total hours,80 lectures,All Levels,269.99,449.99,"1,691 students"
2468,Tensorflow and Keras For Neural Networks and Deep Learning,Minerva Singh,4.2,414.0,8 total hours,80 lectures,All Levels,229.99,1199.99,"10,615 students"
2469,Python Programming in 5 Hours,Mahmud Ahsan,3.8,414.0,5 total hours,104 lectures,Beginner,199.99,229.99,"12,967 students"
2470,Code a Responsive Website Using HTML5 and CSS for Beginners,Paul Cheney,4.2,414.0,7 total hours,102 lectures,Beginner,269.99,479.99,"2,209 students"
2471,APIs in PHP: from Basic to Advanced,Dave Hollingworth,4.7,414.0,5 total hours,89 lectures,All Levels,229.99,819.99,"2,607 students"
2472,"Learn to create WebXR, VR and AR, experiences using Three.JS",Nicholas Lever,4.5,413.0,5 total hours,50 lectures,Intermediate,269.99,619.99,"4,276 students"
2473,Python for Beginners,"Dollar Design School, Mark Lassoff",4.4,413.0,5.5 total hours,65 lectures,Beginner,269.99,719.99,"3,542 students"
